Bno,Bname,Author,price,publ,qty,d_o_purchase
972,"NATIONAL ARCHIVES OF INDIA ANNUAL REPORT, 1993",NATIONAL ARCHIVES OF INDIA,62,NATIONAL ARCHIVES OF INDIA,1,1995
973,CONGRESS AND THE RAJ (1917-47,D.A. LOW,513,HEINMAN EDUCATIONAL BOOKS LTD. LONDON,4,1977
974,GARDENS OF THE GREAT MUGHALS,C.M. VILLIERS STUART,290,"R.S. PUBLISHING HOUSE, ALLAHABAD",2,1979
975,THE GREAT ATTACK,SOHAN SINGH JOSH,110,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",4,1979
976,HINDUSTAN GADAR PARTY A SHORT HISTORY VOL. II,SOHAN SINGH JOSH,355,"PEOPLE'S PUBLISHING HOUSE, NEW DELHI",2,1978
977,HISTORY OF THE GREAT MUGHALS,PRINGLE KENNEDY,556,THACKER SPINK & CO. (1933) PRIVATE LTD. CALCUTTA,1,1968
978,ANNALS AND ANTIQUITIES OF RAJASTHAN VOL. I,JAMES TOD,631,"M.N. PUBLISHERS, NEW DELHI",4,1978
979,ANNALS AND ANTIQUITIES OF RAJASTHAN VOL. II,JAMES TOD,637,"M.N. PUBLISHERS, NEW DELHI",5,1978
980,MONUMENTS OF DELHI A HISTORICAL STUDY,R. NATH,,"P.P. ANAND, NEW DELHI",3,1978
981,MUSLIM DESHBHAKT,RATAN LAL BANSAL,143,"HINDUSTANI CULTURE SOCIETY, ALLAHABAD",1,1976
982,AZAD KI PISTOL AUR UN KE GADDAR SATHI,GHAMENDRA GAUR,85,"MAULIK SAHITYA PRAKASHAN, DELHI",2,1974
983,HAN! YAAD ATA HAI: THA EK MAHATMA,SIR JOHN MARSHALL,,,4,1913
984,THE CITIZEN OF INDIA,W. LEE WARMER,177,MACMILLAN AND CO. LIMITED LONDON,2,1899
985,"A GUIDE TO THE OBSERVATION AT DELHI, JAIPUR",G.R. KAYE,108,CALCUTTA,4,…
986,ILLUSTRATED CATALOGUE OF THE EXHIBITS VICTORIA MEMORIAL,GEORGE WATT,140,"THE MANAGER OF GOVERNMENT OF INDIA PRESS, CALCUTTA",3,1925
987,CATALOGUE OF ARCHAELOGICAL EXHIBITS,,54,ALLAHABAD,5,1915
988,AN ORIENTAL BIOGRAPHICAL DICTIONARY,BEALE,431,"RAMESH CHANDRA JAIN, MANOHAR REPRINT, DELHI",4,1971
989,ENCYCLOPEDIA OF SOLDIERS WITH GALLANTRY AWARD,BEALE,630,"CITY HOUSE JOURNALS & ENCYCLOPAEDIAS, NEW DELHI",1,1980
